time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
2.9833336,9.6527405,1.7494369,-6.2239865e-06,-7.8163985e-06,-1.3860827e-06,-0.00082405494
3.0000002,9.6534195,1.7457241,-5.5582905e-06,-0.00021659628,-3.910718e-05,-0.0003555824
3.016667,9.653628,1.7445811,-6.3171015e-06,-0.00034038967,-6.144007e-05,-5.7057085e-05
3.0333335,9.653733,1.7439997,-5.717929e-06,-0.00044361505,-8.005482e-05,8.8849134e-05
3.0500002,9.653887,1.7431558,-4.6035952e-06,-0.00035203248,-6.3540356e-05,0.00011941857
3.0666668,9.654377,1.740434,-5.098344e-06,0.0006418397,0.000115963405,0.00021866232
3.0833335,9.655456,1.734483,-3.5926607e-06,0.0027702793,0.00050191564,0.0005361185
3.1000001,9.655253,1.7356312,-3.3263877e-06,0.0023398486,0.0004247231,0.00062817766
3.1166668,9.653746,1.7440608,2.3900384e-07,0.005941346,0.0010840162,0.00092134497
3.1333334,9.654734,1.7388788,1.639075e-05,0.009314868,0.0017122445,0.0016024689
3.15,9.656033,1.7326754,7.109818e-05,0.018441198,0.003440325,0.0028978453
3.1666667,9.65215,1.7545569,6.530895e-05,0.014479913,0.00272536,0.0028879808
3.1833334,9.640453,1.8179436,3.2997414e-06,0.01896371,0.0036172124,0.0024930476
3.2000003,9.637986,1.832147,7.0970076e-05,0.024298456,0.0047138557,0.0033761149
3.216667,9.63996,1.8240224,0.00023351262,0.035122488,0.0069826273,0.0045594666
3.2333336,9.632686,1.8638914,0.00022444753,0.033509243,0.006799503,0.0052806432
3.2500002,9.615578,1.951841,8.742254e-05,0.03843583,0.007985705,0.004668764
3.266667,9.60516,2.0047166,0.00011983435,0.040908355,0.008708798,0.0049607838
3.2833335,9.600877,2.0278912,0.0003274164,0.053327005,0.011712365,0.0051775603
3.3000002,9.595525,2.0573287,0.00048126018,0.058541678,0.013268082,0.006323847
3.3166668,9.582271,2.123148,0.0004947654,0.070196085,0.016466519,0.006164038
3.3333335,9.559594,2.2261288,0.00025287474,0.06450958,0.015591599,0.0066055856
3.3500001,9.53542,2.3316393,0.00013311706,0.07831203,0.019586975,0.0054305624
3.3666668,9.526057,2.3730884,0.00039336254,0.080578275,0.020835245,0.006309454
3.3833334,9.506075,2.4539948,0.00030123277,0.08539931,0.022825552,0.0062864046
3.4,9.492663,2.512835,0.00053923106,0.10583648,0.02935681,0.005640795
3.4166667,9.482376,2.556007,0.0007302509,0.1053134,0.030251343,0.0067573166
3.4333334,9.431259,2.740911,-0.0001071176,0.099945754,0.029641788,0.0066208136
3.4500003,9.39099,2.8815672,-0.00021743876,0.10886846,0.03337224,0.0056145196
3.466667,9.373664,2.935562,0.000106626285,0.102140985,0.03228205,0.0061787455
3.4833336,9.345487,3.025009,8.5264355e-06,0.11130002,0.03629895,0.0056264666
3.5000002,9.327379,3.0818732,0.00022700657,0.1129355,0.03798461,0.005921665
3.516667,9.29993,3.1642027,0.00016220828,0.11459129,0.039714802,0.005953878
3.5333335,9.252835,3.3012161,-0.00025266697,0.1065796,0.037972458,0.006026651
3.5500002,9.22016,3.3924088,-0.00013260786,0.11591858,0.04249723,0.0052274894
3.5666668,9.209294,3.4209473,0.00028603306,0.11700981,0.0441228,0.0055258805
3.5833335,9.168867,3.5272045,-7.156809e-05,0.10909745,0.04222009,0.005885424
3.6000001,9.113711,3.670379,-0.00041313886,0.10960524,0.043572363,0.0051440615
3.6166668,9.114417,3.668238,0.00039141084,0.12800983,0.05225606,0.005272282
3.6333334,9.094318,3.7150793,0.00033494638,0.111642696,0.046704717,0.005614538
3.65,9.026117,3.880968,-0.00037193898,0.12199089,0.052349128,0.004867729
3.6666667,9.002876,3.9362864,0.000114908864,0.121877715,0.0536329,0.005085124
3.6833336,8.951394,4.0494323,-0.00025173972,0.10378125,0.046678685,0.005586354
3.7000003,8.901574,4.160853,-0.00035400712,0.1232485,0.056790523,0.004228124
3.716667,8.92011,4.118234,0.0006236458,0.12289428,0.058006648,0.0047774077
3.7333336,8.882441,4.1989884,0.00025406133,0.12476373,0.060295004,0.0050073983
3.7500002,8.8532505,4.2663755,0.00043949913,0.14889923,0.073844604,0.004219446
3.766667,8.774794,4.42247,-0.00041485677,0.099317774,0.050205067,0.0059153372
3.7833335,8.656651,4.6566324,-0.0012851781,0.12862535,0.06648852,0.0034646746
3.8000002,8.701442,4.5661817,0.00066272897,0.12503208,0.06610161,0.004069542
3.8166668,8.691162,4.5824847,0.00063416874,0.12729178,0.06879938,0.0045700744
3.8333335,8.592217,4.76962,-0.00047315835,0.11687516,0.064479254,0.004737657
3.8500001,8.552773,4.839877,-7.2495124e-05,0.1284674,0.0724142,0.0038936313
3.8666668,8.543421,4.8555174,0.0003410627,0.12751469,0.073429346,0.003990747
3.8833334,8.478486,4.967466,-0.00015733362,0.118024,0.069330595,0.004323611
3.9,8.416282,5.0746827,-0.0002248836,0.12919648,0.077491574,0.0036555408
3.916667,8.41053,5.0828996,0.0003818846,0.12824649,0.078533664,0.0037707502
3.9333336,8.360554,5.16496,9.1103444e-05,0.12921588,0.08076619,0.0038177099
3.9500003,8.27467,5.302984,-0.00037395445,0.11853961,0.0755257,0.0039565205
3.966667,8.228098,5.3752704,-0.00010762432,0.13025908,0.08467778,0.0032429476
3.9833336,8.199803,5.416547,9.260388e-05,0.117715254,0.07798238,0.003628245
4.0,8.148323,5.4941163,-3.2237793e-05,0.13047175,0.08816157,0.0031225192
4.016667,8.149133,5.494797,0.0005832734,0.14033218,0.09682372,0.002950174
4.033334,8.071927,5.6062436,-7.20283e-05,0.11810659,0.083010614,0.003798446
4.05,7.9493747,5.783082,-0.000695458,0.13186617,0.09449046,0.0029345702
4.066667,7.9253798,5.8134637,4.9707378e-05,0.11725261,0.08556536,0.003088717
4.0833335,7.889615,5.8606095,9.1792e-05,0.13100503,0.097452186,0.0025692394
4.1000004,7.864105,5.8955426,0.00026630185,0.12753512,0.09670444,0.002710077
4.116667,7.7818313,6.0029373,-0.00018655084,0.11809565,0.09116549,0.0030521788
4.1333337,7.7073116,6.100772,-0.00022479071,0.12975375,0.10207242,0.0023850729
4.15,7.6819906,6.130307,0.00014916364,0.11625228,0.09309181,0.0026732164
4.166667,7.652844,6.168158,0.00026553345,0.14285304,0.11668135,0.0018734881
4.1833334,7.5993023,6.233522,6.3866675e-05,0.11443512,0.09513877,0.002744178
4.2000003,7.4431663,6.42119,-0.00085968315,0.119079694,0.100746065,0.0023855285
4.2166667,7.458728,6.4038363,0.0005019606,0.13959222,0.12044104,0.0014623097
4.2333336,7.4528217,6.406851,0.00048759504,0.1136073,0.09975549,0.0023673242
4.25,7.2624264,6.625862,-0.0010482823,0.11801139,0.10543579,0.002097938
4.266667,7.253549,6.6349664,0.00023518325,0.1254762,0.11418832,0.0014860639
4.283334,7.275417,6.6082644,0.000689463,0.12437171,0.11529081,0.0015285782
4.3,7.1462035,6.7490063,-0.00042560685,0.113649435,0.10719276,0.0019058066
4.316667,7.0652943,6.835287,-0.00022303422,0.12421428,0.11930368,0.0013887105
4.3333335,7.083827,6.815197,0.00059175666,0.12784854,0.1251378,0.0010694885
4.3500004,6.9588075,6.941684,-0.0004298867,0.10319868,0.10268167,0.0019255633
4.366667,6.7924347,7.1086683,-0.0010018914,0.10930233,0.11058288,0.0013225025
4.3833337,6.761506,7.1338615,-0.00018628003,0.090168424,0.09261311,0.0014940916
4.4,6.7349367,7.15559,-5.9056452e-05,0.10064638,0.10504329,0.0008367415
4.416667,6.675596,7.2089977,-0.0003047878,0.07468104,0.079000935,0.0016438196
4.4333334,6.5602665,7.314074,-0.00071589113,0.073738195,0.0790376,0.0012866852
4.4500003,6.512327,7.354815,-0.00042368457,0.058411602,0.06333311,0.0014657326
4.4666667,6.493954,7.3666477,-0.00021562309,0.05427441,0.05950167,0.0011477118
4.4833336,6.4772005,7.379015,-0.00022124816,0.048774455,0.05403704,0.0010879393
4.5,6.4604015,7.3910685,-0.00015998413,0.040177893,0.044924792,0.0013151462
4.516667,6.3846292,7.456385,-0.00048346483,0.025599523,0.028804388,0.0016338192
4.533334,6.347233,7.487101,-0.00040838638,0.023194494,0.02626698,0.0007750443
4.55,6.3828306,7.4535246,-0.00010974854,0.017775124,0.020240355,0.0007419662
4.566667,6.399905,7.437159,-6.2501415e-05,0.015585643,0.017829927,0.00073804124
4.5833335,6.393202,7.4422727,-0.00011009145,0.011632874,0.013352618,0.00076498097
4.6000004,6.384964,7.4488187,-0.000102281265,0.008141255,0.009365358,0.0005517409
4.616667,6.3800187,7.4527183,-8.647459e-05,0.0059526176,0.006859087,0.00022180052
4.6333337,6.388907,7.444735,-3.866295e-05,0.0042074937,0.004853893,9.1926944e-05
4.65,6.3950787,7.439239,-2.2737602e-05,0.0025255415,0.0029154173,0.00011335472
4.666667,6.3977456,7.436853,-1.6708484e-05,0.0012255259,0.0014150485,0.00010137549
4.6833334,6.4027576,7.432475,-1.0487192e-05,0.00045819816,0.0005290834,4.376902e-05
4.7000003,6.409891,7.426285,-7.096225e-06,0.0001051666,0.000121430785,2.5094143e-05
4.7166667,6.4157534,7.4212055,-4.477606e-06,-2.8905367e-06,-3.3488009e-06,9.081749e-05
4.7333336,6.418662,7.418686,-5.556151e-06,-3.871085e-05,-4.4731856e-05,0.0003175118
4.7500005,6.418431,7.418885,-5.989928e-06,-5.1654846e-05,-5.968734e-05,0.0007031481
4.766667,6.4158916,7.421081,-6.1388178e-06,-5.061814e-05,-5.8531696e-05,0.001223128
4.783334,6.4114995,7.4248753,-5.2361074e-06,-6.4668355e-05,-7.488466e-05,0.0018594908
4.8,6.4056683,7.4299064,-5.8551173e-06,-5.8828282e-05,-6.821595e-05,0.0024936073
4.816667,6.397162,7.437231,-5.481956e-06,-5.0930757e-05,-5.926636e-05,0.0034753568
4.8333335,6.3876166,7.4454308,-4.930836e-06,-6.190361e-05,-7.215634e-05,0.004222056
4.8500004,6.375229,7.4560404,-6.109427e-06,-5.91286e-05,-6.9165486e-05,0.0051815244
4.866667,6.361607,7.467665,-5.5138953e-06,-6.709152e-05,-7.870203e-05,0.0059782225
4.8833337,6.3459373,7.480985,-6.540867e-06,-6.1436884e-05,-7.23832e-05,0.0067795995
4.9,6.327033,7.49698,-5.522275e-06,-5.9025082e-05,-6.987539e-05,0.0078491075
4.916667,6.307027,7.513818,-5.694719e-06,-6.871445e-05,-8.191394e-05,0.00857611
4.9333334,6.2821145,7.534659,-6.248475e-06,-5.968149e-05,-7.1633316e-05,0.009843389
4.9500003,6.257907,7.5547748,-5.0954454e-06,-7.227681e-05,-8.7253444e-05,0.010325997
4.9666667,6.2300696,7.577747,-6.31292e-06,-7.8771445e-05,-9.5745214e-05,0.011022926
4.9833336,6.2020936,7.6006618,-5.9391955e-06,-8.988296e-05,-0.00011009983,0.011340187
5.0000005,6.1707697,7.626113,-5.502651e-06,-8.8304645e-05,-0.00010913123,0.011947432
