lin_acc_x, lin_acc_y, lin_acc_z
6.229,7.579,-0.0
6.19,7.611,-0.0
6.148,7.644,-0.0
6.107,7.678,-0.0
6.067,7.709,-0.0
6.025,7.742,-0.0
5.987,7.771,-0.0
5.95,7.799,-0.0
5.915,7.826,-0.0
5.882,7.851,-0.0
5.85,7.875,-0.0
5.822,7.895,-0.0
5.797,7.914,-0.0
5.774,7.931,-0.0
5.754,7.945,-0.0
5.737,7.958,-0.0
5.722,7.968,-0.0
5.71,7.977,-0.0
5.701,7.983,-0.0
5.694,7.988,-0.0
5.69,7.992,-0.0
5.686,7.994,-0.0
5.685,7.995,-0.0
5.684,7.996,-0.0
5.684,7.996,-0.0
5.684,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.684,7.996,-0.0
5.685,7.995,-0.0
5.686,7.994,-0.0
5.69,7.991,-0.0
5.695,7.988,-0.0
5.702,7.983,-0.0
5.712,7.976,-0.0
5.724,7.967,-0.0
5.739,7.956,-0.0
5.756,7.944,-0.0
5.776,7.929,-0.0
5.799,7.912,-0.0
5.824,7.894,-0.0
5.853,7.873,-0.0
5.884,7.849,-0.0
5.918,7.824,-0.0
5.952,7.798,-0.0
5.99,7.769,-0.0
6.029,7.739,-0.0
6.069,7.707,-0.0
6.111,7.674,-0.0
6.151,7.642,-0.0
6.192,7.609,-0.0
6.232,7.576,-0.0
6.271,7.544,-0.0
6.31,7.512,-0.0
6.345,7.481,-0.0
6.38,7.452,-0.0
6.413,7.424,-0.0
6.443,7.398,-0.0
6.47,7.374,-0.0
6.495,7.352,-0.0
6.516,7.333,-0.0
6.535,7.316,-0.0
6.551,7.302,-0.0
6.564,7.29,-0.0
6.575,7.28,-0.0
6.584,7.272,-0.0
6.59,7.267,-0.0
6.595,7.262,-0.0
6.598,7.259,-0.0
6.6,7.258,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.6,7.257,-0.0
6.599,7.259,-0.0
6.596,7.262,-0.0
6.591,7.266,-0.0
6.585,7.272,-0.0
6.577,7.279,-0.0
6.566,7.289,-0.0
6.553,7.301,-0.0
6.537,7.315,-0.0
6.519,7.331,-0.0
6.498,7.35,-0.0
6.473,7.371,-0.0
6.447,7.394,-0.0
6.418,7.419,-0.0
6.386,7.447,-0.0
6.353,7.475,-0.0
6.318,7.504,-0.0
6.281,7.536,-0.0
6.241,7.569,-0.0
6.2,7.602,-0.0
6.16,7.635,-0.0
6.119,7.668,-0.0
6.077,7.701,-0.0
6.038,7.732,-0.0
5.998,7.762,-0.0
5.96,7.792,-0.0
5.925,7.819,-0.0
5.891,7.844,-0.0
5.859,7.868,-0.0
5.829,7.89,-0.0
5.804,7.909,-0.0
5.78,7.926,-0.0
5.759,7.942,-0.0
5.741,7.954,-0.0
5.726,7.965,-0.0
5.713,7.974,-0.0
5.703,7.982,-0.0
5.696,7.987,-0.0
5.691,7.991,-0.0
5.687,7.993,-0.0
5.685,7.995,-0.0
5.684,7.995,-0.0
5.684,7.996,-0.0
5.684,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.683,7.996,-0.0
5.684,7.996,-0.0
5.685,7.995,-0.0
5.687,7.993,-0.0
5.691,7.99,-0.0
5.698,7.986,-0.0
5.705,7.981,-0.0
5.715,7.973,-0.0
5.728,7.964,-0.0
5.744,7.952,-0.0
5.762,7.939,-0.0
5.784,7.924,-0.0
5.807,7.907,-0.0
5.834,7.887,-0.0
5.864,7.865,-0.0
5.894,7.842,-0.0
5.928,7.816,-0.0
5.965,7.788,-0.0
6.002,7.76,-0.0
6.041,7.729,-0.0
6.082,7.697,-0.0
6.122,7.666,-0.0
6.163,7.633,-0.0
6.204,7.599,-0.0
6.243,7.567,-0.0
6.283,7.534,-0.0
6.321,7.502,-0.0
6.357,7.471,-0.0
6.391,7.442,-0.0
6.422,7.415,-0.0
6.451,7.39,-0.0
6.478,7.367,-0.0
6.503,7.345,-0.0
6.523,7.327,-0.0
6.541,7.311,-0.0
6.556,7.298,-0.0
6.569,7.286,-0.0
6.579,7.277,-0.0
6.587,7.27,-0.0
6.592,7.265,-0.0
6.596,7.261,-0.0
6.599,7.259,-0.0
6.6,7.257,-0.0
6.601,7.257,-0.0
6.601,7.257,-0.0
6.601,7.256,-0.0
6.603,7.255,-0.0
6.606,7.253,-0.0
6.611,7.248,-0.0
6.618,7.242,-0.0
6.628,7.232,-0.0
6.64,7.221,-0.0
6.662,7.201,-0.0
6.683,7.182,-0.0
6.695,7.17,-0.0
6.719,7.147,-0.0
6.758,7.111,0.0
6.789,7.081,0.0
6.828,7.043,0.0
6.864,7.008,0.0
6.904,6.968,-0.0
6.957,6.915,0.0
7.009,6.863,0.0
7.063,6.807,0.0
7.107,6.761,-0.0
7.161,6.703,-0.0
7.226,6.633,0.0
7.277,6.577,-0.0
7.336,6.51,-0.0
7.393,6.446,0.0
7.445,6.385,-0.0
7.5,6.321,-0.0
7.559,6.251,-0.0
7.616,6.181,-0.0
7.671,6.112,-0.0
7.722,6.048,-0.0
7.775,5.98,-0.0
7.827,5.911,-0.0
7.883,5.836,-0.0
7.935,5.766,-0.0
7.981,5.702,-0.0
8.031,5.63,-0.0
8.085,5.552,0.0
8.135,5.479,-0.0
8.18,5.412,-0.0
8.227,5.34,-0.0
8.277,5.262,-0.0
8.322,5.19,-0.0
8.367,5.118,-0.0
8.415,5.039,-0.0
8.461,4.962,-0.0
8.501,4.891,-0.0
8.544,4.816,-0.0
8.589,4.735,-0.0
8.63,4.661,-0.0
8.67,4.586,-0.0
8.713,4.505,-0.0
8.754,4.425,-0.0
8.79,4.352,-0.0
8.828,4.274,-0.0
8.868,4.191,-0.0
8.904,4.114,-0.0
8.939,4.037,-0.0
8.976,3.953,-0.0
9.01,3.876,-0.0
9.043,3.797,-0.0
9.079,3.712,-0.0
9.11,3.634,-0.0
9.141,3.554,-0.0
9.174,3.468,-0.0
9.205,3.386,-0.0
9.235,3.303,-0.0
9.264,3.221,-0.0
9.291,3.141,-0.0
9.318,3.061,-0.0
9.346,2.976,-0.0
9.371,2.895,-0.0
9.397,2.809,-0.0
